@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,67853,0,67998,0,1,1,0.499466,1,0.500534,0.666192,1,1,0
1,67825,28,67701,297,0.995632,0.999587,0.500457,0.999587,0.499543,0.666981,0.997608,1.001984,0.02439
2,67822,31,67671,327,0.995191,0.999543,0.500557,0.999543,0.499443,0.66706,0.997365,1.002184,0.046512
3,67819,34,67657,341,0.994985,0.999499,0.500598,0.999499,0.499402,0.667086,0.99724,1.002266,0.05
4,67816,37,67637,361,0.994691,0.999455,0.500661,0.999455,0.499339,0.667132,0.99707,1.002391,0.05102
5,67813,40,67623,375,0.994485,0.99941,0.500701,0.99941,0.499299,0.667159,0.996945,1.002473,0.051282
6,67810,43,67610,388,0.994294,0.999366,0.500738,0.999366,0.499262,0.667182,0.996827,1.002547,0.051613
7,67808,45,67589,409,0.993985,0.999337,0.500809,0.999337,0.499191,0.667237,0.996658,1.002688,0.052632
8,67802,51,67554,444,0.99347,0.999248,0.500916,0.999248,0.499084,0.667313,0.996356,1.002903,0.057143
9,67799,54,67542,456,0.993294,0.999204,0.500949,0.999204,0.499051,0.667333,0.996246,1.002969,0.060606
10,67796,57,67533,465,0.993162,0.99916,0.500972,0.99916,0.499028,0.667343,0.996158,1.003014,0.0625
11,67780,73,67458,540,0.992059,0.998924,0.50119,0.998924,0.49881,0.667484,0.995488,1.003452,0.066667
12,67771,82,67427,571,0.991603,0.998792,0.501272,0.998792,0.498728,0.667527,0.995193,1.003616,0.069767
13,67767,86,67382,616,0.990941,0.998733,0.501424,0.998733,0.498576,0.667649,0.994833,1.00392,0.071429
14,67764,89,67373,625,0.990809,0.998688,0.501447,0.998688,0.498553,0.667659,0.994744,1.003965,0.073171
15,67757,96,67361,637,0.990632,0.998585,0.501465,0.998585,0.498535,0.667652,0.994604,1.004002,0.075342
16,67751,102,67341,657,0.990338,0.998497,0.501517,0.998497,0.498483,0.667678,0.994413,1.004107,0.075472
17,67739,114,67304,694,0.989794,0.99832,0.501611,0.99832,0.498389,0.667721,0.994052,1.004293,0.076923
18,67724,129,67277,721,0.989397,0.998099,0.501656,0.998099,0.498344,0.667712,0.993743,1.004383,0.083333
19,67720,133,67248,750,0.98897,0.99804,0.501749,0.99804,0.498251,0.667781,0.9935,1.004569,0.085106
20,67714,139,67231,767,0.98872,0.997951,0.50179,0.997951,0.49821,0.667798,0.993331,1.004652,0.085714
21,67708,145,67201,797,0.988279,0.997863,0.501879,0.997863,0.498121,0.667857,0.993066,1.004831,0.090164
22,67707,146,67183,815,0.988014,0.997848,0.501942,0.997848,0.498058,0.66791,0.992926,1.004957,0.090909
23,67697,156,67143,855,0.987426,0.997701,0.502054,0.997701,0.497946,0.667976,0.992558,1.005181,0.093023
24,67696,157,67117,881,0.987044,0.997686,0.502147,0.997686,0.497853,0.668055,0.992359,1.005368,0.096774
25,67690,163,67081,917,0.986514,0.997598,0.502259,0.997598,0.497741,0.668134,0.99205,1.005592,0.098039
26,67685,168,67057,941,0.986161,0.997524,0.50233,0.997524,0.49767,0.66818,0.991837,1.005734,0.1
27,67683,170,67044,954,0.98597,0.997495,0.502371,0.997495,0.497629,0.66821,0.991726,1.005816,0.102564
28,67681,172,67024,974,0.985676,0.997465,0.502439,0.997465,0.497561,0.668263,0.991564,1.005951,0.103448
29,67675,178,66972,1026,0.984911,0.997377,0.502611,0.997377,0.497389,0.668395,0.991137,1.006295,0.107143
30,67670,183,66947,1051,0.984544,0.997303,0.502685,0.997303,0.497315,0.668445,0.990917,1.006445,0.108108
31,67663,190,66906,1092,0.983941,0.9972,0.502813,0.9972,0.497187,0.668534,0.990563,1.0067,0.108911
32,67662,191,66881,1117,0.983573,0.997185,0.502902,0.997185,0.497098,0.66861,0.990372,1.00688,0.109091
33,67658,195,66855,1143,0.983191,0.997126,0.502985,0.997126,0.497015,0.66867,0.990151,1.007045,0.111111
34,67653,200,66838,1160,0.982941,0.997052,0.50303,0.997052,0.49697,0.668693,0.989989,1.007135,0.113208
35,67649,204,66815,1183,0.982602,0.996994,0.503101,0.996994,0.496899,0.668743,0.98979,1.007278,0.113636
36,67630,223,66764,1234,0.981852,0.996713,0.503222,0.996713,0.496778,0.668786,0.989275,1.007519,0.114286
37,67624,229,66750,1248,0.981647,0.996625,0.503252,0.996625,0.496748,0.668793,0.989128,1.00758,0.116279
38,67614,239,66728,1270,0.981323,0.996478,0.503298,0.996478,0.496702,0.6688,0.988892,1.007671,0.117647
39,67609,244,66693,1305,0.980808,0.996404,0.50341,0.996404,0.49659,0.668883,0.988598,1.007896,0.12
40,67605,248,66677,1321,0.980573,0.996345,0.503455,0.996345,0.496545,0.668909,0.988451,1.007987,0.121212
41,67601,252,66659,1339,0.980308,0.996286,0.503508,0.996286,0.496492,0.668943,0.988289,1.008092,0.121622
42,67595,258,66629,1369,0.979867,0.996198,0.503598,0.996198,0.496402,0.669002,0.988024,1.008273,0.123077
43,67588,265,66611,1387,0.979602,0.996094,0.50364,0.996094,0.49636,0.669016,0.98784,1.008356,0.125
44,67576,277,66592,1406,0.979323,0.995918,0.503667,0.995918,0.496333,0.669,0.987611,1.00841,0.126984
45,67569,284,66577,1421,0.979102,0.995814,0.503697,0.995814,0.496303,0.669003,0.987449,1.008471,0.129032
46,67561,292,66520,1478,0.978264,0.995697,0.503882,0.995697,0.496118,0.669139,0.986971,1.008841,0.129412
47,67542,311,66489,1509,0.977808,0.995417,0.503928,0.995417,0.496072,0.669117,0.986603,1.008933,0.12987
48,67532,321,66456,1542,0.977323,0.995269,0.504015,0.995269,0.495985,0.66916,0.986286,1.009108,0.131148
49,67518,335,66407,1591,0.976602,0.995063,0.504148,0.995063,0.495852,0.669231,0.985823,1.009373,0.132075
50,67515,338,66383,1615,0.976249,0.995019,0.504227,0.995019,0.495773,0.66929,0.985624,1.009532,0.133333
51,67496,357,66327,1671,0.975426,0.994739,0.504368,0.994739,0.495632,0.669351,0.985072,1.009813,0.135135
52,67491,362,66311,1687,0.97519,0.994665,0.50441,0.994665,0.49559,0.669371,0.984917,1.009897,0.136986
53,67481,372,66284,1714,0.974793,0.994518,0.504474,0.994518,0.495526,0.669395,0.984645,1.010027,0.139535
54,67477,376,66256,1742,0.974382,0.994459,0.504565,0.994459,0.495435,0.669461,0.984409,1.010208,0.14
55,67469,384,66239,1759,0.974132,0.994341,0.5046,0.994341,0.4954,0.669465,0.984225,1.010277,0.141026
56,67465,388,66196,1802,0.973499,0.994282,0.504747,0.994282,0.495253,0.669581,0.983879,1.010573,0.142857
57,67412,441,66091,1907,0.971955,0.993501,0.504947,0.993501,0.495053,0.66958,0.982716,1.010974,0.145833
58,67404,449,66067,1931,0.971602,0.993383,0.505009,0.993383,0.494991,0.669607,0.982481,1.011096,0.146341
59,67400,453,66042,1956,0.971234,0.993324,0.505088,0.993324,0.494912,0.669664,0.982267,1.011256,0.147059
60,67395,458,66026,1972,0.970999,0.99325,0.50513,0.99325,0.49487,0.669684,0.982113,1.01134,0.147727
61,67389,464,65999,1999,0.970602,0.993162,0.50521,0.993162,0.49479,0.669734,0.98187,1.0115,0.148148
62,67383,470,65982,2016,0.970352,0.993073,0.505253,0.993073,0.494747,0.669751,0.981701,1.011585,0.148936
63,67375,478,65967,2031,0.970131,0.992955,0.50528,0.992955,0.49472,0.669748,0.981531,1.011639,0.15
64,67371,482,65951,2047,0.969896,0.992896,0.505325,0.992896,0.494675,0.669775,0.981384,1.011731,0.150685
65,67362,491,65928,2070,0.969558,0.992764,0.505379,0.992764,0.494621,0.669792,0.981148,1.011838,0.151515
66,67352,501,65892,2106,0.969029,0.992616,0.505479,0.992616,0.494521,0.669846,0.98081,1.012038,0.152542
67,67341,512,65877,2121,0.968808,0.992454,0.505495,0.992454,0.494505,0.669823,0.980618,1.01207,0.153846
68,67330,523,65826,2172,0.968058,0.992292,0.505648,0.992292,0.494352,0.66992,0.980162,1.012376,0.154255
69,67325,528,65804,2194,0.967734,0.992218,0.505713,0.992218,0.494287,0.66996,0.979963,1.012506,0.15493
70,67321,532,65774,2224,0.967293,0.99216,0.505812,0.99216,0.494188,0.670034,0.979713,1.012704,0.155172
71,67310,543,65748,2250,0.966911,0.991997,0.50587,0.991997,0.49413,0.670048,0.979441,1.01282,0.155556
72,67302,551,65731,2267,0.966661,0.99188,0.505905,0.99188,0.494095,0.670052,0.979257,1.01289,0.155963
73,67294,559,65688,2310,0.966028,0.991762,0.506038,0.991762,0.493962,0.670142,0.978881,1.013158,0.15625
74,67274,579,65636,2362,0.965264,0.991467,0.506162,0.991467,0.493838,0.670183,0.978351,1.013406,0.156863
75,67272,581,65619,2379,0.965014,0.991437,0.506219,0.991437,0.493781,0.670227,0.978211,1.013521,0.157692
76,67257,596,65582,2416,0.96447,0.991216,0.506305,0.991216,0.493695,0.670251,0.977829,1.013691,0.157895
77,67253,600,65569,2429,0.964278,0.991157,0.506339,0.991157,0.493661,0.670268,0.977704,1.013761,0.16129
78,67244,609,65549,2449,0.963984,0.991025,0.506382,0.991025,0.493618,0.670275,0.97749,1.013846,0.161765
79,67225,628,65526,2472,0.963646,0.990745,0.506399,0.990745,0.493601,0.670226,0.977181,1.013881,0.162162
