@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,67853,0,67998,0,1,1,0.499466,1,0.500534,0.666192,1,1,0
1,67816,37,67657,341,0.994985,0.999455,0.500587,0.999455,0.499413,0.667067,0.997218,1.002243,0.02439
2,67813,40,67627,371,0.994544,0.99941,0.500687,0.99941,0.499313,0.667145,0.996975,1.002443,0.04
3,67810,43,67595,403,0.994073,0.999366,0.500794,0.999366,0.499206,0.667231,0.996717,1.002658,0.046512
4,67807,46,67581,417,0.993867,0.999322,0.500835,0.999322,0.499165,0.667257,0.996592,1.00274,0.05
5,67801,52,67544,454,0.993323,0.999234,0.500949,0.999234,0.499051,0.667339,0.996275,1.002969,0.051282
6,67798,55,67531,467,0.993132,0.999189,0.500986,0.999189,0.499014,0.667362,0.996158,1.003044,0.052632
7,67792,61,67496,502,0.992617,0.999101,0.501094,0.999101,0.498906,0.667438,0.995856,1.003259,0.057143
8,67789,64,67484,514,0.992441,0.999057,0.501127,0.999057,0.498873,0.667458,0.995745,1.003326,0.057692
9,67787,66,67463,535,0.992132,0.999027,0.501198,0.999027,0.498802,0.667514,0.995576,1.003467,0.060606
10,67781,72,67440,558,0.991794,0.998939,0.501261,0.998939,0.498739,0.66755,0.995363,1.003593,0.0625
11,67765,88,67365,633,0.990691,0.998703,0.50148,0.998703,0.49852,0.667691,0.994693,1.004032,0.066667
12,67756,97,67334,664,0.990235,0.99857,0.501562,0.99857,0.498438,0.667734,0.994398,1.004196,0.069767
13,67752,101,67289,709,0.989573,0.998511,0.501714,0.998511,0.498286,0.667856,0.994038,1.004501,0.071429
