@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,67853,0,67998,0,1,1,0.499466,1,0.500534,0.666192,1,1,0
1,67853,0,67997,1,0.999985,1,0.49947,1,0.50053,0.666195,0.999993,1.000007,0.02
2,67852,1,67996,2,0.999971,0.999985,0.49947,0.999985,0.50053,0.666192,0.999978,1.000007,0.04
3,67852,1,67995,3,0.999956,0.999985,0.499474,0.999985,0.500526,0.666195,0.999971,1.000015,0.052
4,67852,1,67994,4,0.999941,0.999985,0.499477,0.999985,0.500523,0.666199,0.999963,1.000022,0.06
5,67848,5,67992,6,0.999912,0.999926,0.49947,0.999926,0.50053,0.666179,0.999919,1.000007,0.061429
6,67847,6,67992,6,0.999912,0.999912,0.499466,0.999912,0.500534,0.666172,0.999912,1,0.064154
7,67847,6,67991,7,0.999897,0.999912,0.49947,0.999912,0.50053,0.666176,0.999904,1.000007,0.068
8,67847,6,67990,8,0.999882,0.999912,0.499474,0.999912,0.500526,0.666179,0.999897,1.000015,0.07
9,67846,7,67989,9,0.999868,0.999897,0.499474,0.999897,0.500526,0.666176,0.999882,1.000015,0.073333
10,67845,8,67989,9,0.999868,0.999882,0.49947,0.999882,0.50053,0.666169,0.999875,1.000007,0.078333
11,67845,8,67988,10,0.999853,0.999882,0.499474,0.999882,0.500526,0.666172,0.999868,1.000015,0.08
12,67837,16,67982,16,0.999765,0.999764,0.499466,0.999764,0.500534,0.66614,0.999764,1,0.085763
13,67836,17,67982,16,0.999765,0.999749,0.499463,0.999749,0.500537,0.666133,0.999757,0.999992,0.0875
14,67835,18,67982,16,0.999765,0.999735,0.499459,0.999735,0.500541,0.666127,0.99975,0.999985,0.087815
